ticker,last_tran_date,last_tran_time,ask_price,bid_price,open,previous_close,days_high,days_low,volume
GOOG,3/3/2016,10:36:00,712.59,712.08,717.54,718.85,719,711,544574
GOOG,3/3/2016,10:37:00,712.34,712.07,717.54,718.85,719,711,546383
GOOG,3/3/2016,10:38:00,712.57,712.21,717.54,718.85,719,711,549765
GOOG,3/3/2016,10:39:00,712.78,712.29,717.54,718.85,719,711,551892
GOOG,3/3/2016,10:40:00,713.5,713.03,717.54,718.85,719,711,565175
GOOG,3/3/2016,10:41:00,713,712.7,717.54,718.85,719,711,567829
GOOG,3/3/2016,10:42:00,712.99,712.7,717.54,718.85,719,711,574092
GOOG,3/3/2016,10:43:00,712.88,712.41,717.54,718.85,719,711,578641
GOOG,3/3/2016,10:44:00,712.77,712.41,717.54,718.85,719,711,579541
GOOG,3/3/2016,10:45:00,712.78,712.44,717.54,718.85,719,711,581167
GOOG,3/3/2016,10:46:00,713.2,712.68,717.54,718.85,719,711,583596
GOOG,3/3/2016,10:47:00,713.99,713.57,717.54,718.85,719,711,588877
GOOG,3/3/2016,10:48:00,713.36,713.01,717.54,718.85,719,711,594706
GOOG,3/3/2016,10:49:00,713.57,713.25,717.54,718.85,719,711,597061
GOOG,3/3/2016,10:50:00,713.38,713.27,717.54,718.85,719,711,599988
GOOG,3/3/2016,10:51:00,713.49,713.23,717.54,718.85,719,711,607443
GOOG,3/3/2016,10:52:00,713.26,713.05,717.54,718.85,719,711,614988
GOOG,3/3/2016,10:53:00,712.72,712.37,717.54,718.85,719,711,619979
GOOG,3/3/2016,10:54:00,713.13,712.61,717.54,718.85,719,711,624866
GOOG,3/3/2016,10:55:00,712.86,712.77,717.54,718.85,719,711,626742
GOOG,3/3/2016,10:56:00,712.91,712.54,717.54,718.85,719,711,629850
GOOG,3/3/2016,10:57:00,713.09,712.61,717.54,718.85,719,711,635936
GOOG,3/3/2016,10:58:00,712.17,712.04,717.54,718.85,719,711,644674
GOOG,3/3/2016,10:59:00,712.35,712.02,717.54,718.85,719,711,659997
GOOG,3/3/2016,11:00:00,711.83,711.6,717.54,718.85,719,711,666317
GOOG,3/3/2016,11:01:00,711.46,711.17,717.54,718.85,719,711,687143
GOOG,3/3/2016,11:03:00,710.94,710.88,717.54,718.85,719,711,698798
GOOG,3/3/2016,11:04:00,710.89,710.72,717.54,718.85,719,711,706881
GOOG,3/3/2016,11:05:00,710.77,710.72,717.54,718.85,719,711,712452
GOOG,3/3/2016,11:05:00,710.83,710.71,717.54,718.85,719,711,716256
GOOG,3/3/2016,11:06:00,710.81,710.6,717.54,718.85,719,711,722788
GOOG,3/3/2016,11:08:00,711.5,711.27,717.54,718.85,719,711,727182
GOOG,3/3/2016,11:09:00,712.07,711.84,717.54,718.85,719,711,733707
GOOG,3/3/2016,11:10:00,711.92,711.53,717.54,718.85,719,711,738184
GOOG,3/3/2016,11:11:00,712.11,711.9,717.54,718.85,719,711,742709
GOOG,3/3/2016,11:12:00,711.98,711.64,717.54,718.85,719,711,745902
GOOG,3/3/2016,11:12:00,711.46,710.87,717.54,718.85,719,711,752503
GOOG,3/3/2016,11:13:00,711.41,710.87,717.54,718.85,719,711,754691
GOOG,3/3/2016,11:14:00,711.74,711.16,717.54,718.85,719,711,758239
GOOG,3/3/2016,11:15:00,711.96,711.53,717.54,718.85,719,711,760027
GOOG,3/3/2016,11:17:00,712.02,711.66,717.54,718.85,719,711,765709
GOOG,3/3/2016,11:18:00,711.94,711.5,717.54,718.85,719,711,768306
GOOG,3/3/2016,11:18:00,712.11,711.62,717.54,718.85,719,711,770232
GOOG,3/3/2016,11:20:00,712.13,711.62,717.54,718.85,719,711,770428
GOOG,3/3/2016,11:21:00,711.35,711,717.54,718.85,719,711,776423
GOOG,3/3/2016,11:22:00,711.08,710.89,717.54,718.85,719,711,779530
GOOG,3/3/2016,11:23:00,709.83,709.48,717.54,718.85,719,706,832628
GOOG,3/3/2016,11:24:00,711.92,711.46,717.54,718.85,719,706,880535
GOOG,3/3/2016,11:25:00,711.96,711.2,717.54,718.85,719,706,899665
GOOG,3/3/2016,11:26:00,711.99,711.65,717.54,718.85,719,706,906028
GOOG,3/3/2016,11:27:00,712.61,712.21,717.54,718.85,719,706,912234
GOOG,3/3/2016,11:28:00,711.7,710.95,717.54,718.85,719,706,921396
GOOG,3/3/2016,11:29:00,711.75,711.14,717.54,718.85,719,706,923441
GOOG,3/3/2016,11:30:00,711.96,711.1,717.54,718.85,719,706,930368
GOOG,3/3/2016,11:31:00,711.85,711.29,717.54,718.85,719,706,932284
GOOG,3/3/2016,11:32:00,712.27,711.9,717.54,718.85,719,706,935785
GOOG,3/3/2016,11:33:00,712.24,711.85,717.54,718.85,719,706,936569
GOOG,3/3/2016,11:34:00,712.03,711.5,717.54,718.85,719,706,938145
GOOG,3/3/2016,11:34:00,712.02,711.61,717.54,718.85,719,706,938754
GOOG,3/3/2016,11:36:00,711.67,711.2,717.54,718.85,719,706,939894
GOOG,3/3/2016,11:37:00,711.67,711.1,717.54,718.85,719,706,940520
GOOG,3/3/2016,11:38:00,711.61,711.1,717.54,718.85,719,706,944112
GOOG,3/3/2016,11:39:00,712.27,711.87,717.54,718.85,719,706,947290
GOOG,3/3/2016,11:40:00,711.96,711.26,717.54,718.85,719,706,954169
GOOG,3/3/2016,11:41:00,711.61,711.11,717.54,718.85,719,706,955545
GOOG,3/3/2016,11:42:00,712.31,711.72,717.54,718.85,719,706,956921
GOOG,3/3/2016,11:42:00,712.19,711.65,717.54,718.85,719,706,957085
GOOG,3/3/2016,11:44:00,711.94,711.6,717.54,718.85,719,706,962007
GOOG,3/3/2016,11:47:00,712.68,712.03,717.54,718.85,719,706,970308
GOOG,3/3/2016,11:48:00,712.68,712.17,717.54,718.85,719,706,971664
GOOG,3/3/2016,11:48:00,712.59,712.26,717.54,718.85,719,706,971985
GOOG,3/3/2016,11:50:00,712.99,712.56,717.54,718.85,719,706,975161
GOOG,3/3/2016,11:52:00,712.96,712.33,717.54,718.85,719,706,977684
GOOG,3/3/2016,11:52:00,712.68,712.2,717.54,718.85,719,706,982926
GOOG,3/3/2016,11:53:00,712.22,711.5,717.54,718.85,719,706,985822
GOOG,3/3/2016,11:55:00,712.56,712.06,717.54,718.85,719,706,988047
GOOG,3/3/2016,11:56:00,712.5,711.86,717.54,718.85,719,706,992072
GOOG,3/3/2016,11:57:00,712.86,712.05,717.54,718.85,719,706,995333
GOOG,3/3/2016,11:58:00,712.73,712.34,717.54,718.85,719,706,995933
GOOG,3/3/2016,11:59:00,712.45,712.1,717.54,718.85,719,706,997886
GOOG,3/3/2016,12:00:00,712.62,712.26,717.54,718.85,719,706,999892
GOOG,3/3/2016,12:02:00,712.73,712.25,717.54,718.85,719,706,1002800
GOOG,3/3/2016,12:03:00,712.49,712.08,717.54,718.85,719,706,1006675
GOOG,3/3/2016,12:03:00,712.4,712,717.54,718.85,719,706,1006970
GOOG,3/3/2016,12:04:00,712.19,712,717.54,718.85,719,706,1008270
GOOG,3/3/2016,12:06:00,712.25,711.75,717.54,718.85,719,706,1012952
GOOG,3/3/2016,12:07:00,712.25,711.92,717.54,718.85,719,706,1013561
GOOG,3/3/2016,12:07:00,712.28,712.01,717.54,718.85,719,706,1013674
GOOG,3/3/2016,12:09:00,712.56,712.41,717.54,718.85,719,706,1016634
GOOG,3/3/2016,12:10:00,712.41,712,717.54,718.85,719,706,1017118
GOOG,3/3/2016,12:11:00,712.36,712,717.54,718.85,719,706,1017445
GOOG,3/3/2016,12:12:00,711.91,711.51,717.54,718.85,719,706,1019849
GOOG,3/3/2016,12:12:00,711.84,711.53,717.54,718.85,719,706,1020403
GOOG,3/3/2016,12:14:00,711.69,711.5,717.54,718.85,719,706,1023019
GOOG,3/3/2016,12:15:00,711.85,711.43,717.54,718.85,719,706,1026184
GOOG,3/3/2016,12:16:00,711.73,711.52,717.54,718.85,719,706,1026877
GOOG,3/3/2016,12:17:00,711.44,711,717.54,718.85,719,706,1031286
GOOG,3/3/2016,12:18:00,711.2,710.9,717.54,718.85,719,706,1032221
GOOG,3/3/2016,12:20:00,710.95,710.72,717.54,718.85,719,706,1034940
GOOG,3/3/2016,12:21:00,710.99,710.66,717.54,718.85,719,706,1038069
GOOG,3/3/2016,12:22:00,711.43,711.12,717.54,718.85,719,706,1039629
GOOG,3/3/2016,12:23:00,711.56,711.05,717.54,718.85,719,706,1044961
GOOG,3/3/2016,12:24:00,711.28,710.91,717.54,718.85,719,706,1046658
GOOG,3/3/2016,12:26:00,711.03,710.5,717.54,718.85,719,706,1049482
GOOG,3/3/2016,12:27:00,711.04,710.62,717.54,718.85,719,706,1052911
GOOG,3/3/2016,12:28:00,711,710.62,717.54,718.85,719,706,1055779
GOOG,3/3/2016,12:28:00,710.73,710.11,717.54,718.85,719,706,1056566
GOOG,3/3/2016,12:30:00,710.72,710.2,717.54,718.85,719,706,1057196
GOOG,3/3/2016,12:33:00,710.95,710.45,717.54,718.85,719,706,1062931
GOOG,3/3/2016,12:34:00,710.96,710.56,717.54,718.85,719,706,1063557
GOOG,3/3/2016,12:35:00,711.23,710.97,717.54,718.85,719,706,1063973
GOOG,3/3/2016,12:36:00,711.04,710.72,717.54,718.85,719,706,1066972
GOOG,3/3/2016,12:37:00,711.48,711.14,717.54,718.85,719,706,1069235
GOOG,3/3/2016,12:38:00,711.28,710.71,717.54,718.85,719,706,1069618
GOOG,3/3/2016,12:39:00,711.27,710.96,717.54,718.85,719,706,1070157
GOOG,3/3/2016,12:40:00,711.51,711.18,717.54,718.85,719,706,1070611
GOOG,3/3/2016,12:41:00,711.38,710.91,717.54,718.85,719,706,1072504
GOOG,3/3/2016,12:42:00,711.24,710.84,717.54,718.85,719,706,1073293
GOOG,3/3/2016,12:43:00,711.19,710.91,717.54,718.85,719,706,1074521
GOOG,3/3/2016,12:44:00,711.48,711.14,717.54,718.85,719,706,1075623
GOOG,3/3/2016,12:45:00,711.43,711.13,717.54,718.85,719,706,1076132
GOOG,3/3/2016,12:45:00,711.52,711.2,717.54,718.85,719,706,1076278
GOOG,3/3/2016,12:47:00,711.4,710.99,717.54,718.85,719,706,1087837
GOOG,3/3/2016,12:48:00,710.93,710.38,717.54,718.85,719,706,1090730
GOOG,3/3/2016,12:49:00,710.65,710.42,717.54,718.85,719,706,1092466
GOOG,3/3/2016,12:50:00,710.65,710.41,717.54,718.85,719,706,1093159
GOOG,3/3/2016,12:51:00,710.69,710.41,717.54,718.85,719,706,1094325
GOOG,3/3/2016,12:52:00,710.69,710.44,717.54,718.85,719,706,1095153
